Year,Economic activity,Gender,Economically active population,Monthly average wage,Paid employment workers
2024-01-01,"Agriculture, forestry and fishing",Female,2.2255885709147636,148.0596128054819,2.3953118199571146
2025-01-01,"Agriculture, forestry and fishing",Female,8.367448134106496,101.58939843857189,8.93095395455046
2026-01-01,"Agriculture, forestry and fishing",Female,7.650416515352426,76.80820593151041,8.297740422029548
2027-01-01,"Agriculture, forestry and fishing",Female,7.969714979809621,51.90797645024922,8.615409801190763
2024-01-01,Mining and quarrying,Female,5391.416028087498,22665.106770717077,5385.902218556746
2025-01-01,Mining and quarrying,Female,7248.827173920831,22872.111254882813,7368.587634060391
2026-01-01,Mining and quarrying,Female,6484.686490327082,23440.119129040777,6637.612893314035
2027-01-01,Mining and quarrying,Female,6165.666679129165,23823.9905258241,6302.81979319268
2024-01-01,Manufacturing,Female,2678.26873507698,15729.123224350285,2622.8971875480147
2025-01-01,Manufacturing,Female,3479.923783905105,15770.190346106705,3468.5129945081258
2026-01-01,Manufacturing,Female,3273.7727813009387,16115.668026322346,3285.350725296362
2027-01-01,Manufacturing,Female,3142.9573548686467,16393.6631966478,3160.2966103814733
2024-01-01,"Electricity, gas, steam and air conditioning supply",Female,2667.4102369259817,22903.440193593553,2662.123677627839
2025-01-01,"Electricity, gas, steam and air conditioning supply",Female,3362.224735528028,22958.172132966956,3415.506489135349
2026-01-01,"Electricity, gas, steam and air conditioning supply",Female,3193.7114346509065,23403.363873291015,3264.9857361897343
2027-01-01,"Electricity, gas, steam and air conditioning supply",Female,3085.4452203623273,23733.852668706153,3160.321184415994
2024-01-01,"Water supply; sewerage, waste management and remediation activities",Female,471.52401801505704,19146.572284159756,478.6835377055816
2025-01-01,"Water supply; sewerage, waste management and remediation activities",Female,705.2012047012549,19427.637732481664,731.518746057553
2026-01-01,"Water supply; sewerage, waste management and remediation activities",Female,636.4836151830258,19822.96340015645,667.6226922024931
2027-01-01,"Water supply; sewerage, waste management and remediation activities",Female,628.343383249432,20170.731681705398,662.4539943044645
2024-01-01,Construction,Female,7521.582055378012,14715.75884646046,7410.923949798298
2025-01-01,Construction,Female,9436.979470742595,14905.884068952288,9461.191352245052
2026-01-01,Construction,Female,8844.61204235718,15190.1117416195,8936.400160941806
2027-01-01,Construction,Female,8430.826137409262,15383.443345274634,8535.09578604481
2024-01-01,Wholesale and retail trade; repair of motor vehicles and motorcycles,Female,26199.471178399042,9828.868867386798,25913.910458205493
2025-01-01,Wholesale and retail trade; repair of motor vehicles and motorcycles,Female,32372.81940756571,9878.382751340283,32489.049542890854
2026-01-01,Wholesale and retail trade; repair of motor vehicles and motorcycles,Female,29108.913964857376,10084.035030554947,29511.112455701215
2027-01-01,Wholesale and retail trade; repair of motor vehicles and motorcycles,Female,27505.38972006571,10232.692161379444,27946.474196636576
2024-01-01,Transportation and storage,Female,16341.276511904882,18462.9108869031,16182.252458835239
2025-01-01,Transportation and storage,Female,19849.512748884048,18584.793265231387,19994.825073474283
2026-01-01,Transportation and storage,Female,18689.27134263405,19014.301044996613,18977.685774050828
2027-01-01,Transportation and storage,Female,17692.29377752988,19333.41350404078,18001.16952150237
2024-01-01,Accommodation and food service activities,Female,19924.316204608785,8306.50280657087,19774.4694384963
2025-01-01,Accommodation and food service activities,Female,24377.999785337954,8411.947052151427,24580.99235133979
2026-01-01,Accommodation and food service activities,Female,22283.14020200462,8574.261675664162,22650.678350120783
2027-01-01,Accommodation and food service activities,Female,21139.982910337952,8795.239117880063,21537.96200515177
2024-01-01,Information and communication,Female,5414.076124723749,23675.928302898796,5375.446332640139
2025-01-01,Information and communication,Female,6776.687937874791,24077.055323461416,6840.210737743347
2026-01-01,Information and communication,Female,6415.719109749791,24772.911375109616,6518.930709252804
