Year,Economic activity,Female Salary,Male Salary,Female Paid Workers,Male Paid Workers,Salary gap,Women are paid,Absolute gap,Weighted Total
1/1/2011,Accommodation and food service activities,6602,4669,2548,27788,-1933,more,1933,20308
1/1/2011,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,2409,2403,83792,47815,-6,more,6,3675
1/1/2011,Administrative and support service activities,7798,6640,2444,37629,-1158,more,1158,29603
1/1/2011,"Agriculture, forestry and fishing",2765,3153,46,17047,388,less,388,16842
1/1/2011,"Arts, entertainment and recreation",13657,14089,742,3883,432,less,432,4372
1/1/2011,Construction,10745,4659,2836,492783,-6086,more,6086,310387
1/1/2011,Education,12958,15539,16338,10594,2581,less,2581,11806
1/1/2011,"Electricity, gas, steam and air conditioning supply",13807,18975,390,5026,5168,less,5168,5203
1/1/2011,Financial and insurance activities,13516,17882,2689,7845,4366,less,4366,8586
1/1/2011,Human health and social work activities,13176,16536,10530,10547,3360,less,3360,11570
1/1/2011,Information and communication,13540,16648,1873,8051,3108,less,3108,8606
1/1/2011,Manufacturing,10217,6537,600,99841,-3680,more,3680,92306
1/1/2011,Mining and quarrying,18237,15110,2441,79367,-3127,more,3127,70865
1/1/2011,Other service activities,10745,6129,316,4003,-4616,more,4616,4334
1/1/2011,"Professional, scientific and technical activities",10562,7928,1284,22447,-2634,more,2634,20790
1/1/2011,Public administration and defence; compulsory social security,14417,16386,13648,62606,1969,less,1969,40708
1/1/2011,Real estate activities,12208,10682,416,8562,-1526,more,1526,8699
1/1/2011,Transportation and storage,8716,7389,3910,28509,-1327,more,1327,21660
1/1/2011,"Water supply; sewerage, waste management and remediation activities",0,11529,0,1138,11529,less,11529,1138
1/1/2011,Wholesale and retail trade; repair of motor vehicles and motorcycles,7738,5329,5121,134581,-2409,more,2409,72422
1/1/2012,Accommodation and food service activities,8597,6025,2990,29094,-2572,more,2572,22296
1/1/2012,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,2425,2233,90361,49543,-192,more,192,3561
1/1/2012,Administrative and support service activities,11556,5367,2298,38936,-6189,more,6189,30727
1/1/2012,"Agriculture, forestry and fishing",2955,4411,55,17959,1456,less,1456,17774
1/1/2012,"Arts, entertainment and recreation",19364,12131,752,6994,-7233,more,7233,7716
1/1/2012,Construction,11990,3879,2911,494056,-8111,more,8111,287385
1/1/2012,Education,17268,17438,18193,11894,170,less,170,14638
1/1/2012,"Electricity, gas, steam and air conditioning supply",14824,18666,479,7186,3842,less,3842,7377
1/1/2012,Financial and insurance activities,18049,20239,3178,8099,2190,less,2190,9449
1/1/2012,Human health and social work activities,17131,16978,11649,11644,-153,more,153,13877
1/1/2012,Information and communication,17638,18749,2783,8634,1111,less,1111,9798
1/1/2012,Manufacturing,12585,6536,659,101852,-6049,more,6049,93676
1/1/2012,Mining and quarrying,23838,18431,3102,79963,-5407,more,5407,71878
1/1/2012,Other service activities,8793,5934,680,4295,-2859,more,2859,4757
1/1/2012,"Professional, scientific and technical activities",11752,7477,1501,23469,-4275,more,4275,21510
1/1/2012,Public administration and defence; compulsory social security,19864,23597,13785,67634,3733,less,3733,50018
1/1/2012,Real estate activities,16904,13675,350,8743,-3229,more,3229,8947
1/1/2012,Transportation and storage,14968,11412,5338,32394,-3556,more,3556,26841
1/1/2012,"Water supply; sewerage, waste management and remediation activities",16278,13194,38,1233,-3084,more,3084,1276
1/1/2012,Wholesale and retail trade; repair of motor vehicles and motorcycles,7752,6451,5239,161783,-1301,more,1301,92752
1/1/2013,Accommodation and food service activities,9270,8536,3695,35135,-734,more,734,27321
1/1/2013,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,2589,2458,95631,56381,-131,more,131,3937
1/1/2013,Administrative and support service activities,8889,7217,3894,43895,-1672,more,1672,31627
1/1/2013,"Agriculture, forestry and fishing",0,5020,0,21076,5020,less,5020,21076
1/1/2013,"Arts, entertainment and recreation",19199,11357,1286,7790,-7842,more,7842,8950
1/1/2013,Construction,16106,4693,3308,562864,-11413,more,11413,336808
1/1/2013,Education,19840,19401,26042,13423,-439,more,439,17100
